Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,intensity,laser_id,azimuth,distance_m,adjustedtime,timestamp
0.202219307,1.557002425,-0.1767786,2,1,740,1.58,874498537,874498537
0.58275032,5.122683048,0.21004957,13,2,649,5.16,874498540,874498540
-2.481487036,17.26301003,1.015688658,3,3,35182,17.47,874498543,874498543
0.745217025,6.104535103,0.498197764,17,4,696,6.17,874498546,874498546
-2.579091072,18.35118675,2.269608259,4,5,35200,18.67,874498549,874498549
0.746464312,6.05325985,1.113928556,13,6,703,6.2,874498552,874498552
-1.458861351,9.773137093,2.647718906,7,7,35151,10.23,874498555,874498555
-3.072767735,53.29148483,0,31,9,35670,53.38,874498561,874498561
0.219971284,6.2059865,-0.03803204,3,10,203,6.21,874498564,874498564
0.782753468,6.170148373,-0.070464455,14,11,723,6.22,874498567,874498567
-2.504170656,16.99926949,0.50006628,3,12,35162,17.19,874498570,874498570
-2.461101294,45.15106201,1.038065076,13,13,35688,45.23,874498573,874498573
0.22961314,6.144741058,0.109253347,8,14,214,6.15,874498576,874498576
0.786930084,6.109107971,0.071709074,17,15,734,6.16,874498579,874498579
-0.67529434,4.45991087,-0.28908807,2,20,35139,4.52,874498546,874498546
-0.21114333,3.57502532,-0.250425726,4,21,35662,3.59,874498549,874498549
0.077859432,2.252141714,-0.171449989,2,22,198,2.26,874498552,874498552
-2.448514462,16.15191269,-0.665564001,4,24,35138,16.35,874498558,874498558
-1.918227911,33.26812363,-1.562689066,3,25,35670,33.36,874498561,874498561
0.350898474,10.14999866,-0.532256663,5,26,198,10.17,874498564,874498564
0.559416533,4.497663975,-0.263951153,6,27,709,4.54,874498567,874498567
-2.509852409,17.22545815,-0.303846389,5,28,35171,17.41,874498570,874498570
-2.826960564,53.23055649,-1.240390539,32,29,35696,53.32,874498573,874498573
0.242227033,6.192640305,-0.180361316,4,30,224,6.2,874498576,874498576
0.802121043,6.134074211,-0.214095205,11,31,745,6.19,874498579,874498579
0.205798954,1.546509147,-0.175659746,2,1,758,1.57,874498587,874498587
0.584914267,5.001738071,0.205164686,6,2,667,5.04,874498590,874498590
-2.500878334,17.79467392,1.046502352,3,3,35200,18,874498593,874498593
0.765630186,6.112053871,0.499005228,17,4,714,6.18,874498596,874498596
-2.522777081,18.36903191,2.270823956,3,5,35218,18.68,874498599,874498599
0.766712129,6.06064415,1.11572516,13,6,721,6.21,874498602,874498602
-1.426754951,9.76811409,2.645130634,6,7,35169,10.22,874498605,874498605
-2.51095438,17.0659771,0.100255512,4,8,35163,17.25,874498608,874498608
-2.905877113,53.31086349,0,34,9,35688,53.39,874498611,874498611
0.235996321,6.11533308,-0.03748085,5,10,221,6.12,874498614,874498614
0.799554467,6.147827148,-0.070237875,14,11,741,6.2,874498617,874498617
-2.479267359,17.20492363,0.505884409,3,12,35180,17.39,874498620,874498620
-2.320268631,45.17853928,1.038524151,12,13,35706,45.25,874498623,874498623
0.245273575,6.054077148,0.107654519,21,14,232,6.06,874498626,874498626
0.806118548,6.10660553,0.071709074,17,15,752,6.16,874498629,874498629
-0.661279798,4.462010384,-0.28908807,2,20,35157,4.52,874498596,874498596
-0.201024756,3.595591068,-0.251820862,4,21,35680,3.61,874498599,874498599
0.084934346,2.251886129,-0.171449989,2,22,216,2.26,874498602,874498602
-2.449088097,16.50544739,-0.679811597,6,24,35156,16.7,874498608,874498608
